Phrase	Grammar	Transcription	Translation	Notes
独生子女|dúshēngzǐnǚ||only child|||NPCR-48
独|dú||only; merely; alone|||NPCR-48
生|shēng||to give birth to|||NPCR-48
子女|zǐnǚ||sons and daughters; children|||NPCR-48
生育|shēngyù||to give birth to; to bear|||NPCR-48
鼓励|gǔlì||to encourage; to urge|||NPCR-48
对|duì||pair|||NPCR-48
夫妇|fūfù||man and wife|||NPCR-48
年代|niándài||decade|||NPCR-48
增长|zēngzhǎng||to increase; to grow|||NPCR-48
达到|dádào||to reach; to attain|||NPCR-48
尽管|jǐnguǎn||though; in spite of|||NPCR-48
以来|yǐlái||since|||NPCR-48
政策|zhèngcè||policy|||NPCR-48
控制|kòngzhì||to control|||NPCR-48
率|lǜ||rate|||NPCR-48
平均|píngjūn||even; average/to average|||NPCR-48
保持|bǎochí||to keep; to maintain|||NPCR-48
速度|sùdù||speed|||NPCR-48
其实|qíshí||in fact; as a matter of fact|||NPCR-48
交通|jiāotōng||traffic; communications|||NPCR-48
等|děng||and so on; and so forth|||NPCR-48
一直|yìzhí||continuously; all along; always|||NPCR-48
传统|chuántǒng||tradition|||NPCR-48
重男轻女|zhòngnánqīngnǚ||regard men as superior to women|||NPCR-48
客观|kèguān||objective|||NPCR-48
分析|fēnxī||to analyze|||NPCR-48
稍微|shāowēi||a little; slightly|||NPCR-48
丁克家庭|dīngkèjiātíng||family with double income and no kids|||NPCR-48
丁克|dīngkè||double income and no kids ("DINK")|||NPCR-48
养儿防老|yǎngérfánglǎo||bring up children to provide against old age|||NPCR-48
长期|chāngqī||long-term; long-lasting|||NPCR-48
农业|nóngyè||agriculture; farming|||NPCR-48
居民|jūmín||resident; inhabitant|||NPCR-48
出现|chūxiàn||to appear; to emerge|||NPCR-48
保险|bǎoxiǎn||safe/insurance|||NPCR-48
制度|zhìdù||system|||NPCR-48
形式|xíngshì||form|||NPCR-48
总数|zǒngshù||total; sum|||NPCR-48
实际|shíjì||reality/real; realistic; practical|||NPCR-48
大概|dàgài||general; rough/probably|||NPCR-48
违反|wéifǎn||to violate; to run counter to; to go against|||NPCR-48
规律|guīlǜ||law|||NPCR-48
不利|búlì||unfavourable; disadvantageous|||NPCR-48
有利|yǒulì||advantageous; beneficial|||NPCR-48
专家|zhuānjiā||expert; specialist|||NPCR-48
自由|zìyóu||freedom/free|||NPCR-48
说明|shuōmíng||to explain; to show/explanation|||NPCR-48
太爷爷|tàiyéye||great-grandfather|||NPCR-48
储存|chǔcún||to store|||NPCR-48
粮食|liángshi||grain|||NPCR-48
缺|quē||to lack|||NPCR-48
积谷防饥|jīgǔfángjī||store up grain against famine|||NPCR-48
晒|shài||to dry up in the sun|||NPCR-48
佩服|pèifú||to admire|||NPCR-48
了不起|liǎobuqǐ||unusual; outstanding|||NPCR-48
主持人|zhǔchírén||anchorperson; host or hostess|||NPCR-48
岸|àn||bank; shore|||NPCR-48
歌星|gēxīng||star singer; accomplished vocalist|||NPCR-48
哄|hǒng||to coax|||NPCR-48
劝|quàn||to try to persuade; to convince|||NPCR-48
负增长|fùzēngzhǎng||negative growth|||NPCR-48
清朝|qīngcháo||Qing Dynasty (1616 - 1911)|||NPCR-48
民国|mínguó||Republic of China (1912 - 1949)|||NPCR-48
邓小平|dèngxiǎopíng||Deng Xiaoping (1904 - 1997)|||NPCR-48
小叶子|xiǎoyèzi||Xiao Yezi (name of a TV program host)|||NPCR-48
