Phrase	Grammar	Transcription	Translation	Notes
全身|quánshēn||all over (the body)||~疼|NPCR-12
全|quán||whole|||NPCR-12
身|shēn||body|||NPCR-12
舒服|shūfu||comfortable||不~, 很~, ~不~|NPCR-12
每|měi||each, every||~天, ~年, ~个学生, ~瓶酒|NPCR-12
锻炼|duànliàn||to do physical exercise||去~|NPCR-12
头|tóu||head|||NPCR-12
疼|téng||painful||头~, 手~|NPCR-12
嗓子|sǎngzi||throat||~疼, ~不舒服|NPCR-12
想|xiǎng||to think/to want to do sth.||~睡觉, ~喝水|NPCR-12
医院|yīyuàn||hospital||去~, 有一个~|NPCR-12
看病|kànbìng||to see a doctor||去~, 去医院~|NPCR-12
病|bìng||illness/to get sick||看~, 有~, 没有~|NPCR-12
身体|shēntǐ||body, health||~好, 锻炼~|NPCR-12
要|yào||must, to want to do something||~看病, ~锻炼|NPCR-12
吧|ba||(modal particle)|||NPCR-12
还是|háishi||or||现在~晚上, 睡觉~起床|NPCR-12
一起|yìqǐ||together||跟他~, ~去, ~锻炼|NPCR-12
冷|lěng||cold||天气很~|NPCR-12
穿|chuān||to wear|||NPCR-12
衣服|yīfu||clothes||穿~, 买~, 做~|NPCR-12
休息|xiūxi||to take a rest||~一下, 应该~|NPCR-12
给|gěi||to; for||~他买, ~他介绍, ~我们上课|NPCR-12
挂号|guàhào||to register (at a hospital, etc.)||给他~|NPCR-12
号|hào||number||八~, 四九二~|NPCR-12
有点儿|yǒudiǎnr||somewhat; rather; a bit||~疼, ~不舒服|NPCR-12
发炎|fāyán||to become inflamed||有点儿~|NPCR-12
发烧|fāshāo||to have a fever有点儿~|||NPCR-12
烧|shāo||to burn|||NPCR-12
感冒|gǎnmào||to have a cold/cold||有点儿~|NPCR-12
住院|zhùyuàn||to be in a hospital; to be hospitalized|||NPCR-12
水|shuǐ||water||喝~|NPCR-12
药|yào||medicine||吃~, 买~|NPCR-12
愿意|yuànyì||to be willing to do sth.||~学习, ~上课, 不~|NPCR-12
中药|zhōngyào||traditional Chinese medicine|||NPCR-12
西药|xīyào||Western Medicine|||NPCR-12
西|xī||west|||NPCR-12
牙|yá||tooth|||NPCR-12
肚子|dùzi||abdomen; stomach|||NPCR-12
开刀|kāidāo||to have an operation|||NPCR-12
化验|huàyàn||to have a medical test|||NPCR-12
血|xiě||blood|||NPCR-12
大便|dàbiàn||stool|||NPCR-12
小便|xiǎobiàn||urine|||NPCR-12
打针|dǎzhēn||to have an injection|||NPCR-12
热|rè||hot|||NPCR-12
凉快|liángkuai||cool|||NPCR-12
生活|shēnghuó||life|||NPCR-12
英文|yīngwén||English|||NPCR-12
