Phrase	Grammar	Transcription	Translation	Notes
得|de||(structural particle)||吃~很好, 穿~很漂亮, 玩儿~很好|NPCR-15
早|zǎo||early||来得真~, 去得太~, 到得很~, 睡觉的不~, 你~, 都很~|NPCR-15
银行|yínháng||bank||中国~|NPCR-15
少|shǎo||few; little||人~, 银行很~, 也很~, 不少|NPCR-15
排队|páiduì||to form a line; to queue up||不用~, ~买书, ~挂号, ~两个~|NPCR-15
排|pái||to arrange; to put in order|||NPCR-15
队|duì||a row of people; line|||NPCR-15
换|huàn||to exchange; to change||~钱, ~书, ~光盘|NPCR-15
英镑|yīngbàng||pound sterling||换~, 一~, 五百~|NPCR-15
人民币|rénmínbì||Renminbi (RMB)||换~|NPCR-15
人民|rénmín||people||中国~银行, 加拿大~|NPCR-15
得|děi||to need; must; to have to||~换钱, ~排队, ~复习语法|NPCR-15
用|yòng||to use||~钱, ~一下电话, ~英镑换人民币, 得~人民币, ~一~|NPCR-15
刚|gāng||just; only a short while ago||~回北京, ~去银行|NPCR-15
从|cóng||from||~美国回中国, ~上海到北京|NPCR-15
非常|fēicháng||very; extremely; highly||~早, ~漂亮, ~喜欢中国音乐|NPCR-15
次|cì||(measure word for actions)||这~, 那~, 一~|NPCR-15
参观|cānguān||to visit (a place)||~学院, ~医院, ~公司|NPCR-15
兵马俑|bīngmǎyǒng||(ceremonial clay statues of warriors and horses which are buried with the dead)||参观~|NPCR-15
兵|bīng||soldier; fighter|||NPCR-15
明信片|míngxìnpiàn||postcard||很多~, 一张~, 美术~|NPCR-15
信|xìn||letter||写~, 寄~, 给他写~|NPCR-15
该|gāi||to be sb.'s turn to do sth.||~你了, ~我(换钱)了, ~他(念)了|NPCR-15
工作人员|gōngzuòrényuán||working personnel; staff member||银行~, 邮局~, 一位~|NPCR-15
人员|rényuán||personnel, staff|||NPCR-15
千|qiān||thousand||两~, 五~, 八~|NPCR-15
数|shǔ||to count||~一~, ~~, ~钱, ~人民币|NPCR-15
王府井|wángfǔjǐng||(name of a famous commercial district in Beijing)|||NPCR-15
西安|xīān||(name of the capital of the Shaanxi province)|||NPCR-15
好久不见|hǎojiǔbújiàn||haven't seen (sb.) for a very long time|||NPCR-15
好久|hǎojiǔ||a very long time|||NPCR-15
见|jiàn||to see|||NPCR-15
发展|fāzhǎn||to develop|||NPCR-15
快|kuài||fast; quick; rapid||发展得非常~, 说得很~, 年得不~|NPCR-15
话|huà||dialect; language||上海~, 西安~, 中国~|NPCR-15
普通话|pǔtōnghuà||the common speech (mandarin)||说~, 学习~|NPCR-15
年轻|niánqīng||young||~人, 非常~|NPCR-15
轻|qīng||light; small|||NPCR-15
流利|liúlì||fluent||说得很~, 念得非常~, ~的汉语, ~的英语, ~的普通话|NPCR-15
懂|dǒng||to understand||~上海话, 不~英语, ~不~|NPCR-15
就|jiù||exactly; precisely||~是, ~是他, ~是这个|NPCR-15
美元|měiyuán||U.S. dollar|||NPCR-15
欧元|ōuyuán||Euro|||NPCR-15
加元|jiāyuán||Canadian dollar|||NPCR-15
元|yuán||(measure word for Chinese currency kuai)|||NPCR-15
亚洲学系|yàzhōuxuéxì||Department of Asian Studies|||NPCR-15
汇率|huìlǜ||exchange rate|||NPCR-15
现金|xiànjīn||cash|||NPCR-15
信用卡|xìnyòngkǎ||credit card|||NPCR-15
城市|chéngshì||city|||NPCR-15
地方|dìfang||place|||NPCR-15
儿子|érzi||son|||NPCR-15
菜|cài||food; a dish|||NPCR-15
