Phrase	Grammar	Transcription	Translation	Notes
сәлемет			zdrowy; cały
бе			czy?	partykuła pytajna
Сәлеметсіз бе?!			Dzień dobry! Jesteście zdrowi?
хал			sprawy; zdrowie; stan; nastrój
халыңыз			Wasze sprawy
халың			twoje sprawy
қалай?			jak?
халыңыз қалай?			jak Wasze sprawy?
халың қалай?			jak twoje sprawy?
жақсы			dobrze
өз			siebie; się	zaimek zwrotny
өзім			ja sam
өзің			ty sam
өзіңіз			Wy sami
өзі			on sam; ona sama
қалайсыз?			jak się macie?
өзіңіз қалайсыз?			Wy sami jak się macie?
рақмет			dziękuję
жаман			zły; źle
емес			nie	partykuła przecząca
жаман емес			nieźle
сәлем			cześć
қалайсың?			jak się masz?
бәрі			wszystko
де			-ż	partykuła wzmacniająca
ой			myśl; marzenie
ойда			w myślach
ойдағы			wyobrażony; pomyślany
ойдағыдай			jak w myślach; jak w marzeniach
бәрі де ойдағыдай			wszystko bardzo dobrze; wszystko pomyślnie
дене			ciało
сау			zdrowy
денсаулық			zdrowie
денсаулығың			twoje zdrowie
денсаулығыңыз			Wasze zdrowie
дені сау			zdrowy
денім сау			jestem zdrowy
денің сау ма?			jesteś zdrowy?
аман			zdrowy; nieuszkodzony
ба			czy	partykuła pytajna
амансыз ба?			jesteście zdrowi?
мал			bydło
малым			moje bydło
түгел			nienaruszony; kompletny
бас			głowa
басым			moja głowa
малым түгел, басым аман			u mnie wszystko dobrze; moje bydło jest całe, moja głowa jest zdrowa
бала			dziecko; chłopiec
балалар			dzieci
балаларыңыз			Wasze dzieci
балаларым			moje dzieci
өсу			rosnąć; dorastać
жатыр			-	czasownik posiłkowy
балаларым өсіп жатыр			moje dzieci rosną
жұмыс			praca
жұмысыңыз			Wasza praca
жұмысым			moja praca
жұмысың			twoja praca
тамаша			doskonały; cudowny; wspaniały
қайыр			dobro
қайырлы			dobry
жарық			jasny
