Phrase	Grammar	Transcription	Translation	Notes
安排	ānpái	to arrange	HSK 4
抱	bào	to hold, to hug	HSK 4
保护	bǎohù	to protect	HSK 4
报名	bàomíng	to sign up (for)	HSK 4
抱歉	bàoqiàn	to be sorry; to feel apologetic; sorry	HSK 4
保证	bǎozhèng	to guarantee	HSK 4
表示	biǎoshì	to show, to indicate	HSK 4
表演	biǎoyǎn	to perform; to act; to demonstrate	HSK 4
表扬	biǎoyáng	to praise; to commend	HSK 4
比如	bǐrú	for example	HSK 4
毕业	bìyè	to graduate	HSK 4
擦	cā	to wipe, to scrub, to erase	HSK 4
猜	cāi	to guess	HSK 4
参观	cānguān	to visit; to tour	HSK 4
尝	cháng	to try (a food)	HSK 4
超过	chāoguò	to surpass; to exceed; to outstrip	HSK 4
成功	chénggōng	to succeed	HSK 4
成为	chéngwéi	to be	HSK 4
乘坐	chéngzuò	to ride (in a vehicle)	HSK 4
吃惊	chījīng	to be surprised	HSK 4
抽烟	chōuyān	to smoke	HSK 4
传真	chuánzhēn	to send by fax	HSK 4
出差	chūchāi	to go on a business trip	HSK 4
出发	chūfā	to depart, to set off	HSK 4
出生	chūshēng	to be born	HSK 4
出现	chūxiàn	to appear	HSK 4
存	cún	to save (money, computer files, etc.)	HSK 4
打扮	dǎban	to dress up, to make oneself up; to dress up (as)	HSK 4
戴	dài	to carry; to wear (an accessory)	HSK 4
倒	dǎo	to fall over	HSK 4
道歉	dàoqiàn	to apologize	HSK 4
打扰	dǎrǎo	to disturb, to bother, to trouble	HSK 4
打印	dǎyìn	to print	HSK 4
打折	dǎzhé	to give a discount	HSK 4
打针	dǎzhēn	to give or have an injection	HSK 4
掉	diào	to fall	HSK 4
调查	diàochá	to survey	HSK 4
丢	diū	to become lost, to throw, to cast	HSK 4
堵车	dǔchē	(of traffic) to be congested	HSK 4
对话	duìhuà	to have a dialog	HSK 4
反对	fǎnduì	to oppose	HSK 4
放弃	fàngqì	to give up, to abandon	HSK 4
放松	fàngsōng	to loosen; to relax	HSK 4
翻译	fānyì	to translate	HSK 4
发生	fāshēng	to happen	HSK 4
发展	fāzhǎn	to develop, to grow, to expand	HSK 4
丰富	fēngfù	to enrich	HSK 4
符合	fúhé	to accord with; to meet (some criteria)	HSK 4
付款	fùkuǎn	to make a payment; payment	HSK 4
复印	fùyìn	to photocopy	HSK 4
负责	fùzé	to be in charge of	HSK 4
改变	gǎibiàn	to change; a change	HSK 4
赶	gǎn	to hurry, to rush, to catch up with	HSK 4
敢	gǎn	to dare (to)	HSK 4
干	gàn	to work; to do	HSK 4
干杯	gānbēi	cheers!	HSK 4
感动	gǎndòng	to move emotionally, to touch emotionally	HSK 4
感谢	gǎnxiè	to be grateful	HSK 4
够	gòu	to be enough	HSK 4
购物	gòuwù	shopping	HSK 4
挂	guà	to hang or suspend (from a hook etc); (of a telephone call) to hang up	HSK 4
逛	guàng	to stroll around, to browse shops	HSK 4
广播	guǎngbō	to broadcast	HSK 4
管理	guǎnlǐ	to manage; management	HSK 4
规定	guīdìng	to make a regulation	HSK 4
估计	gūjì	to estimate	HSK 4
鼓励	gǔlì	to encourage; encouragement	HSK 4
害羞	hàixiū	shy	HSK 4
合格	hégé	to meet standard	HSK 4
后悔	hòuhuǐ	to regret	HSK 4
怀疑	huáiyí	to suspect; to doubt	HSK 4
回忆	huíyì	to recall	HSK 4
获得	huòdé	to obtain	HSK 4
寄	jì	to mail, to send	HSK 4
加班	jiābān	work overtime, work an extra shift	HSK 4
坚持	jiānchí	to persevere, to persist in	HSK 4
减肥	jiǎnféi	to lose weight	HSK 4
降低	jiàngdī	to reduce	HSK 4
降落	jiàngluò	to land, to descend	HSK 4
减少	jiǎnshǎo	to decrease	HSK 4
建议	jiànyì	to suggest, to recommend	HSK 4
交	jiāo	to make (friends)	HSK 4
交流	jiāoliú	to communicate	HSK 4
教育	jiàoyù	to educate	HSK 4
解释	jiěshì	to explain	HSK 4
接受	jiēshòu	to accept	HSK 4
节约	jiéyuē	to economize; to conserve (resources)	HSK 4
计划	jìhuà	to plan; to map out	HSK 4
积累	jīlěi	to accumulate	HSK 4
经历	jīnglì	to go through (an experience)	HSK 4
竞争	jìngzhēng	to compete	HSK 4
镜子	jìngzi	mirror	HSK 4
进行	jìnxíng	to advance, to conduct, to carry on (a plan of action)	HSK 4
禁止	jìnzhǐ	to prohibit; to forbid; to ban	HSK 4
继续	jìxù	to continue	HSK 4
举	jǔ	to raise, to lift	HSK 4
举办	jǔbàn	to conduct; to hold	HSK 4
聚会	jùhuì	to have a party	HSK 4
拒绝	jùjué	to refuse, to reject	HSK 4
举行	jǔxíng	to hold (a party, meeting, activity, etc.)	HSK 4
考虑	kǎolǜ	to consider	HSK 4
咳嗽	késou	to cough	HSK 4
拉	lā	to pull	HSK 4
来不及	láibují	to not have enough time to	HSK 4
来得及	láidejí	can make it in time	HSK 4
来自	láizì	to come from	HSK 4
浪费	làngfèi	to waste	HSK 4
联系	liánxì	to contact	HSK 4
理发	lǐfà	to get one's hair cut	HSK 4
理解	lǐjiě	to comprehend	HSK 4
例如	lìrú	for example	HSK 4
留	liú	to leave (something for someone)	HSK 4
流行	liúxíng	to be popular	HSK 4
旅行	lǚxíng	to travel	HSK 4
