Phrase	Grammar	Transcription	Translation	Notes
帮助	bāngzhù	help; to help	HSK 2
唱歌	chànggē	to sing a song	HSK 2
出	chū	to go out; to happen	HSK 2
穿	chuān	to wear, to put on; to pierce	HSK 2
到	dào	to arrive; to (a place), until (a time)	HSK 2
等	děng	to wait (for)	HSK 2
懂	dǒng	to understand	HSK 2
告诉	gàosu	to tell, to inform	HSK 2
给	gěi	to give	HSK 2
介绍	jièshào	to introduce	HSK 2
进	jìn	to enter, to go in	HSK 2
觉得	juéde	to think; to feel	HSK 2
开始	kāishǐ	to start; beginning	HSK 2
离	lí	to be distanced from	HSK 2
旅游	lǚyóu	to travel	HSK 2
卖	mài	to sell	HSK 2
跑步	pǎobù	to jog, to go running	HSK 2
起床	qǐchuáng	to get up (out of bed)	HSK 2
让	ràng	to let, to make, to have (someone do something)	HSK 2
上班	shàngbān	to go to work	HSK 2
生病	shēngbìng	to fall ill, to get sick	HSK 2
说话	shuōhuà	to speak (words), to talk	HSK 2
送	sòng	to give (a gift); to deliver, to send; to see off (a person)	HSK 2
跳舞	tiàowǔ	to dance (a dance)	HSK 2
完	wán	to finish	HSK 2
玩	wán	to play (with); to have fun	HSK 2
晚上	wǎnshang	evening	HSK 2
问	wèn	to ask	HSK 2
笑	xiào	to laugh, to smile	HSK 2
姓	xìng	to be surnamed	HSK 2
休息	xiūxi	to rest, to sleep	HSK 2
游泳	yóuyǒng	to swim	HSK 2
运动	yùndòng	to exercise, to play sports	HSK 2
找	zhǎo	to look for; to call on someone	HSK 2
知道	zhīdào	to know	HSK 2
准备	zhǔnbèi	to prepare	HSK 2
走	zǒu	to walk, to go, to leave	HSK 2
