Phrase	Grammar	Transcription	Translation	Notes
倍	bèi	times (the amount), -fold	HSK 4
遍	biàn	time(s) [measure word for counting actions from start to finish]	HSK 4
场	cháng	[measure word for sports or entertainmnet events]	HSK 4
份	fèn	a portion, a copy, a set [measure word]	HSK 4
公里	gōnglǐ	kilometer	HSK 4
节	jié	section, length	HSK 4
棵	kē	[measure word for trees or other large plants]	HSK 4
秒	miǎo	second (unit of time)	HSK 4
篇	piān	[measure word for essays and other written pieces]	HSK 4
台	tái	[measure word for computers]	HSK 4
趟	tàng	time(s) [measure word used for round trips]	HSK 4
页	yè	page	HSK 4
座	zuò	[measure word for bridges, mountains, buildings]	HSK 4
