Phrase	Grammar	Transcription	Translation	Notes
abla			starsza siostra
açık			jasny	o kolorze
ad			imię
aile			rodzina
ama			a; ale
amma			a; ale; jednak
Ankara			Ankara
anne			matka
aydınlık			światło; jasny
baba			ojciec
bahçe			ogród; sad
bekâr			kawaler; panna
çocuk			dziecko
çok			dużo
demek			to znaczy
doğumlu			urodzony
edebiyat			literatura
emekli			emeryt
eş			małżonek; małżonka
evli			żonaty; zamężna
fakülte			fakultet
faydalı			pożyteczny; przydatny
güneşli			słoneczny
isim			imię
İstanbul			Stambuł
kardeş			brat; siostra
kat			piętro
kimse			ktoś; ktokolwiek; nikt
kitaplık			biblioteka
koyu			ciemny	o kolorze
lise			liceum
lütfen			proszę
mezun			absolwent
mutfak			kuchnia
oğul			syn
sağ			żywy
sınıf			kurs; klasa
soyadı			nazwisko
tanıtmak			przedstawić; zapoznać
Üsküdar			Uskudar	dzielnica Stambułu
var			jest; znajduje się
yaşlı			w podeszłym wieku
yatak			pościel; łóżko
yedinci			siódmy
yeni			nowy
yerli			miejscowy; lokalny
yok			nie ma
Allah’a şükür!			Dzięki Bogu!
birbirine bağlı			oddani sobie wzajemnie
Cumhuriyet Lisesi			liceum imienia Republiki
Edebiyat Bölümü (lisede)			wydział literatury (w liceum)
Edebiyat Fakültesi			fakultet humanistyczny
emekli memur			urzędnik na emeryturze
Fen-Edebiyat Fakültesi			fakultet przyrodniczo-humanistyczny
Hamdolsun!			Chwała Bogu!
İstanbul Üniversitesi			Uniwersystet Stambulski
Lütfen kendinizi tanıtınız!			Proszę się przedstawić!
Marmara Üniversitesi			Uniwersytet Marmara	w Stambule
Oturuyor			mieszka
Şeytan kulağına kurşun!			Oby nie zapeszyć!
şu anda			obecnie; w tej chwili
Tarih Bölümü			departament historii
tarih öğretmeni			nauczyciel historii
Türk Dili ve Edebiyatı Bölümü			departament filologii tureckiej
