Phrase	Grammar	Transcription	Translation	Notes
yo’ldosh			towarzysz podróży
do’st			przyjaciel
dugona			przyjaciółka
o’rtoq			towarzysz
tanish			znajomy; kolega
shahar			miasto
qishloq			wieś
oila			rodzina
hovli			podwórze
xonadon			dom; rodzina
qo’shni			sąsiad
hamkasb			kolega
deraza			okno
eshik			drzwi
darvoza			brama
dasturxon			obrus
kichik			mały
kichkintoy			mały
katta			duży
qiziqarli			interesujący
keng			szeroki
qaysi?			jaki?
o’zim			sam; sama
tanishmoq			poznać się
ko’rmoq			zobaczyć
yashamoq			żyć
bilmoq			wiedzieć
joylashmoq			znajdować się; osiąść
ishlamoq			pracować
o’qimoq			uczyć się; czytać
