Phrase	Grammar	Transcription	Translation	Notes
penampakan			sightings	
birnes			Birnes	
voyager			voyager	
membutuhkan			need	
serikat			union	
melakukannya			do	
derajat			level	
segera			soon	
khusus			special	
ledakan			explosion	
kosmos			cosmos	
oh			oh	
angin			wind	
zona			zone	
siap			ready	
otak			brain	
lautan			sea	
danau			Lake	
mendapat			get	
berputar			spin	
hujan			rain	
kata			word	
gaya			style	
kehilangan			loss	
jerman			German	
kecepatan			speed	
super			super	
diciptakan			created	
arah			direction	
pria			man	
posisi			position	
menjaga			keep	
inti			core	
mengerti			understand	
bagus			nice	
mengakui			recognize	
memberi			give	
berhenti			Stop	
langkah			step	
yakin			sure	
fenomena			phenomenon	
lahir			born	
alat			tool	
t			t	
kekuasaan			power	
senjata			weapon	
bayangkan			imagine	
berdiri			stand up	
film			film	
menerima			receive	
makan			eat	
mari			let	
tuhan			God	
hati			heart	
oke			Okay	
menempatkan			put	
tantangan			challenge	
contoh			example	
organisme			organism	
produksi			production	
bunga			flower	
kasih			love	
partikel			particle	
budaya			culture	
sepanjang			along	
astronomi			astronomy	
jarak			distance	
nyata			real	
keras			hard	
situs			sites	
industri			industry	
kebutuhan			needs	
keluarga			family	
europa			europa	
suara			sound	
mendengar			hear	
dr			dr	
bencana			disaster	
perempuan			female	
laporan			report	
padat			solid	
tenaga			power	
berakhir			end	
pencarian			search	
setidaknya			at least	
as			US	
kelompok			group	
gerakan			movement	
pasang			tide	
menyadari			be aware	
sumeria			Sumerian	
kamera			camera	
pasifik			Pacific	
dihasilkan			be produced	
memilih			choose	
kemampuan			ability	
menghabiskan			spend	
maksudku			I mean	
utang			debt	
biru			blue	
