Phrase	Grammar	Transcription	Translation	Notes
别	bié	do not (do something)	HSK 4
按时	ànshí	on time	HSK 4
本来	běnlái	originally	HSK 4
差不多	chàbuduō	more or less, almost	HSK 4
重新	chóngxīn	all over again	HSK 4
从来	cónglái	always; never (if used in negative sentence)	HSK 4
大概	dàgài	roughly; probably; approximate	HSK 4
倒	dào	yet, actually (used to indicate contrast)	HSK 4
到处	dàochù	everywhere	HSK 4
到底	dàodǐ	after all	HSK 4
大约	dàyuē	approximately; about	HSK 4
刚	gāng	just (did something)	HSK 4
光	guāng	only, merely	HSK 4
故意	gùyì	on purpose, intentional	HSK 4
好像	hǎoxiàng	to seem like; to seem to be	HSK 4
互相	hùxiāng	mutually	HSK 4
接着	jiēzhe	to continue doing; next, ...	HSK 4
竟然	jìngrán	unexpectedly	HSK 4
及时	jíshí	in time; promptly	HSK 4
究竟	jiūjìng	after all, when all is said and done, finally	HSK 4
肯定	kěndìng	certainly	HSK 4
恐怕	kǒngpà	I'm afraid that...	HSK 4
难道	nándào	could it be that...? [rhetorical question marker]	HSK 4
偶尔	ǒu'ěr	occasionally	HSK 4
千万	qiānwàn	one must by all means (do something)	HSK 4
却	què	however, yet	HSK 4
确实	quèshí	indeed	HSK 4
仍然	réngrán	still, yet	HSK 4
稍微	shāowēi	a little bit	HSK 4
十分	shífēn	very, extremely	HSK 4
是否	shìfǒu	whether or not	HSK 4
实在	shízài	actually	HSK 4
顺便	shùnbiàn	while we're at it...	HSK 4
挺	tǐng	rather; quite	HSK 4
提前	tíqián	in advance	HSK 4
往往	wǎngwǎng	often;frequently	HSK 4
完全	wánquán	completely; totally	HSK 4
也许	yěxǔ	perhaps, maybe	HSK 4
永远	yǒngyuǎn	forever, eternal	HSK 4
尤其	yóuqí	especially	HSK 4
正好	zhènghǎo	just happen to, by chance	HSK 4
只好	zhǐhǎo	to have to, to have no choice but to	HSK 4
至少	zhìshǎo	at least	HSK 4
专门	zhuānmén	especially (for), specialized	HSK 4
自然	zìrán	naturally, certainly	HSK 4
最好	zuìhǎo	(you) had better (do something)	HSK 4
